ID;EXTERNAL_CODE;EXTERNAL_ID;NAME;FEATURES;PRICE;BARCODE;VENDOR_CODE;NDS;PAYMENT_SUBJECT;GROUP;UNIT_CODE;PURCHASE_PRICE;WEIGHTED;ALCOHOL;GTIN;MARK_TYPE;GROUPED;CONTAINER;MODIFIERS;INGREDIENTS;GOOD_TYPE;CONTRACTOR_INN;CONTRACTOR_ACTIVITY_TYPE;COUNTY_CODE;CUSTOM_DECLARATION;PLU_CODE;ORG_MEMBER_POINTS
;3261958;;Вишня Hortex без косточки зам.300г;;101.47;;;;1;;796;73.32;;;;0;;;;;DEFAULT;;;;;;
;3191120;;Вишня Вологод.ягода б/косточки зам.300г;;92.76;;;;1;;796;68.86;;;;0;;;;;DEFAULT;;;;;;
;3268582;;Вишня РАЭ в желе 150г;;40.97;;;;1;;796;32.21;;;;0;;;;;DEFAULT;;;;;;
;3139172;;Вобла Олива Факел вяленая 300г;;155.31;;;;1;;796;115.15;;;;0;;;;;DEFAULT;;;;;;
;3268818;;Вода Acqua Panna питьевая б/газ.0,25л;;96.99;;;;1;;796;64.35;;;;0;;;;;DEFAULT;;;;;;
;3257607;;Вода Acqua Panna питьевая б/газ.0,5л;;108.23;;;;1;;796;77.36;;;;0;;;;;DEFAULT;;;;;;
;3257608;;Вода Acqua Panna питьевая б/газ.1л;;159.82;;;;1;;796;113.26;;;;0;;;;;DEFAULT;;;;;;
;3056783;;Вода Aqua Minerale Active Мал.негаз 0,6л;;45.87;;;;1;;796;34.33;;;;0;;;;;DEFAULT;;;;;;
;3057142;;Вода Aqua Minerale Active Мал.негаз1,25л;;62.85;;;;1;;796;46.21;;;;0;;;;;DEFAULT;;;;;;
;3044326;;Вода Aqua Minerale газ.0,6л;;41.09;;;;1;;796;30.09;;;;0;;;;;DEFAULT;;;;;;
;3044325;;Вода Aqua Minerale газ.1,25л;;37.43;;;;1;;796;35.64;;;;0;;;;;DEFAULT;;;;;;
;3044324;;Вода Aqua Minerale газ.2л;;51.89;;;;1;;796;37.52;;;;0;;;;;DEFAULT;;;;;;
;3044323;;Вода Aqua Minerale негаз. 0,6л;;40.65;;;;1;;796;30.09;;;;0;;;;;DEFAULT;;;;;;
;3044322;;Вода Aqua Minerale негаз.1,25л;;37.4;;;;1;;796;35.61;;;;0;;;;;DEFAULT;;;;;;
;3044321;;Вода Aqua Minerale негаз.2л;;54.69;;;;1;;796;38.96;;;;0;;;;;DEFAULT;;;;;;
;3044320;;Вода Aqua Minerale негаз.5л;;96.87;;;;1;;796;71.4;;;;0;;;;;DEFAULT;;;;;;
;3214237;;Вода Aquanika чистая природн.негаз.0,35л;;33.45;;;;1;;796;23.58;;;;0;;;;;DEFAULT;;;;;;
;3214235;;Вода Aquanika чистая природн.негаз.1,5л;;28.86;;;;1;;796;21.42;;;;0;;;;;DEFAULT;;;;;;
;3274856;;Вода Aquanika чистая природн.негаз.5л;;76.34;;;;1;;796;57.14;;;;0;;;;;DEFAULT;;;;;;
;3102290;;Вода Bonaqua газирован. 0,5л;;39.06;;;;1;;796;28.91;;;;0;;;;;DEFAULT;;;;;;
;3102378;;Вода Bonaqua минер.среднегазир 2л;;45.31;;;;1;;796;37.69;;;;0;;;;;DEFAULT;;;;;;
;3139095;;Вода Bonaqua негазир.1л;;47.5;;;;1;;796;35.05;;;;0;;;;;DEFAULT;;;;;;
;3102347;;Вода Bonaqua негазир.чист.питьевая 0,5л;;39.17;;;;1;;796;28.91;;;;0;;;;;DEFAULT;;;;;;
;3102374;;Вода Bonaqua негазир.чистая питьевая 2л;;44.67;;;;1;;796;39.12;;;;0;;;;;DEFAULT;;;;;;
;3158449;;Вода Bonaqua пит.негазированная 5л;;93.4;;;;1;;796;68.17;;;;0;;;;;DEFAULT;;;;;;
;3139131;;Вода Bonaqua чист.газирован.1л;;47.13;;;;1;;796;35.08;;;;0;;;;;DEFAULT;;;;;;
;3102405;;Вода Bonaqua чистая газированная 2л;;45.28;;;;1;;796;39.36;;;;0;;;;;DEFAULT;;;;;;
;3242143;;Вода Borjomi мин.пр.пит.леч/ст.газ6*0,75;;673.0;;;;1;;796;512.64;;;;0;;;;;DEFAULT;;;;;;
;3209311;;Вода Borjomi минер.пр.пит.леч/ст.газ0,5л;;85.89;;;;1;;796;72.19;;;;0;;;;;DEFAULT;;;;;;
;3209305;;Вода Borjomi минпр.пит.леч/ст.газ0,5лсте;;98.91;;;;1;;796;67.22;;;;0;;;;;DEFAULT;;;;;;
;3223713;;Вода Chaokoh кокосовая натуральная 350мл;;101.24;;;;1;;796;79.56;;;;0;;;;;DEFAULT;;;;;;
;3184929;;Вода Courtois йодирован.пит.негаз.0,5л;;43.85;;;;1;;796;29.64;;;;0;;;;;DEFAULT;;;;;;
;3234639;;Вода Courtois конд.йод/фтор пит.газ.0,5л;;39.99;;;;1;;796;29.64;;;;0;;;;;DEFAULT;;;;;;
;3114487;;Вода Donat Mg минеральная газир.1л;;149.36;;;;1;;796;115.01;;;;0;;;;;DEFAULT;;;;;;
;3245169;;Вода Evian минеральная негаз. 0,33л;;80.18;;;;1;;796;58.97;;;;0;;;;;DEFAULT;;;;;;
;3056580;;Вода Evian минеральная негаз.6шт*0,5л;;611.62;;;;1;;796;452.05;;;;0;;;;;DEFAULT;;;;;;
;3044347;;Вода Evian минеральная негазир.стол.1,5л;;182.39;;;;1;;796;123.68;;;;0;;;;;DEFAULT;;;;;;
;3056912;;Вода Evian минеральная негазиров.6*1,5л;;909.28;;;;1;;796;738.02;;;;0;;;;;DEFAULT;;;;;;
;3051907;;Вода Evian минеральная негазированная 1л;;156.25;;;;1;;796;114.59;;;;0;;;;;DEFAULT;;;;;;
;3059944;;Вода Nestle Pure Life пит.арт.негаз.0,5л;;27.92;;;;1;;796;17.9;;;;0;;;;;DEFAULT;;;;;;
;3066707;;Вода Perrier столов.мин.газ.0,33л;;98.3;;;;1;;796;73.9;;;;0;;;;;DEFAULT;;;;;;
;3262882;;Вода Perrier столов.минер.газ.0,25л пэт;;60.55;;;;1;;796;44.91;;;;0;;;;;DEFAULT;;;;;;
;3066702;;Вода Perrier столов.минер.газ.0,75л;;135.68;;;;1;;796;99.18;;;;0;;;;;DEFAULT;;;;;;
;3262881;;Вода Perrier столов.минер.газ.1л пэт;;104.71;;;;1;;796;77.41;;;;0;;;;;DEFAULT;;;;;;
;3268817;;Вода S.Pellegrino питьев.газ.0,25л;;94.67;;;;1;;796;65.71;;;;0;;;;;DEFAULT;;;;;;
;3257606;;Вода S.Pellegrino питьев.газ.1л;;159.44;;;;1;;796;107.28;;;;0;;;;;DEFAULT;;;;;;
;3262638;;Вода Sairme пит.негаз.родник.0,5л ПЭТ;;67.07;;;;1;;796;49.93;;;;0;;;;;DEFAULT;;;;;;
;3262703;;Вода Selters Leicht мин.леч.слабогаз1л п;;165.96;;;;1;;796;117.21;;;;0;;;;;DEFAULT;;;;;;
;3262702;;Вода Selters Naturell мин.столовая б/г.1;;160.07;;;;1;;796;122.5;;;;0;;;;;DEFAULT;;;;;;
;3170554;;Вода Sulinka мин.леч.ст.газир.1,25л пэт;;130.41;;;;1;;796;97.0;;;;0;;;;;DEFAULT;;;;;;
;3048054;;Вода Vita Архыз мин.газир.0,5л ПЭТ;;46.4;;;;1;;796;31.43;;;;0;;;;;DEFAULT;;;;;;
;3053493;;Вода Vita Архыз мин.пит.негаз.спорт 0,5л;;48.96;;;;1;;796;34.6;;;;0;;;;;DEFAULT;;;;;;
;3048053;;Вода Vita Архыз столовая мин.б/г.0,5л;;46.34;;;;1;;796;31.43;;;;0;;;;;DEFAULT;;;;;;
;3244894;;Вода Vittel минер.стол.б/газа 8*0,33л;;519.76;;;;1;;796;385.62;;;;0;;;;;DEFAULT;;;;;;
;3066689;;Вода Vittel столов.минер.б/г 0,75л;;93.14;;;;1;;796;71.79;;;;0;;;;;DEFAULT;;;;;;
